Biomass (MW),Fossil Brown coal/Lignite (MW),Fossil Coal-derived gas (MW),Fossil Gas (MW),Fossil Hard coal (MW),Fossil Oil (MW),Fossil Oil shale (MW),Fossil Peat (MW),Geothermal (MW),Hydro Pumped Storage (MW),Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage (MW),Hydro Water Reservoir (MW),Marine (MW),Nuclear (MW),Other (MW),Other renewable (MW),Solar (MW),Waste (MW),Wind Offshore (MW),Wind Onshore (MW),Balancing Region,datetime
404,0,0,7048,264,96,0,0,0,,412,796,964,0,4980,12,92,44,220,0,4180,ES,2022-11-01 00:00
424,0,0,7664,264,96,0,0,0,,400,788,696,0,4980,12,92,44,228,0,4040,ES,2022-11-01 00:15
432,0,0,7820,264,92,0,0,0,,404,784,676,0,4980,12,92,44,224,0,3968,ES,2022-11-01 00:30
420,0,0,7416,264,92,0,0,0,,404,776,720,0,4976,12,84,44,220,0,4024,ES,2022-11-01 00:45
404,0,0,7228,264,92,0,0,0,,436,780,668,0,4980,12,88,44,224,0,3996,ES,2022-11-01 01:00
412,0,0,7440,264,92,0,0,0,,596,780,560,0,4980,12,88,44,224,0,3960,ES,2022-11-01 01:15
408,0,0,7312,264,92,0,0,0,,596,752,548,0,4980,16,88,44,220,0,4016,ES,2022-11-01 01:30
400,0,0,7216,264,92,0,0,0,,596,756,476,0,4984,12,88,44,216,0,3968,ES,2022-11-01 01:45
416,0,0,7288,264,92,0,0,0,,676,752,404,0,4980,12,92,44,216,0,3944,ES,2022-11-01 02:00
428,0,0,7416,264,92,0,0,0,,724,752,388,0,4980,12,88,44,220,0,3908,ES,2022-11-01 02:15
424,0,0,7204,264,92,0,0,0,,760,744,392,0,4984,12,88,44,220,0,3932,ES,2022-11-01 02:30
424,0,0,7148,264,92,0,0,0,,760,752,392,0,4984,12,88,40,220,0,3960,ES,2022-11-01 02:45
408,0,0,7072,264,92,0,0,0,,760,748,428,0,4984,12,84,44,216,0,3944,ES,2022-11-01 03:00
412,0,0,7204,264,92,0,0,0,,760,704,436,0,4984,12,84,44,220,0,3916,ES,2022-11-01 03:15
416,0,0,7316,264,92,0,0,0,,740,696,440,0,4984,12,84,44,220,0,3828,ES,2022-11-01 03:30
408,0,0,7144,264,92,0,0,0,,556,700,412,0,4984,12,88,44,220,0,3752,ES,2022-11-01 03:45
420,0,0,7188,264,92,0,0,0,,628,700,432,0,4980,12,88,44,220,0,3724,ES,2022-11-01 04:00
420,0,0,7296,264,88,0,0,0,,840,700,416,0,4984,12,88,44,216,0,3648,ES,2022-11-01 04:15
412,0,0,7296,264,88,0,0,0,,848,692,428,0,4980,12,88,44,224,0,3600,ES,2022-11-01 04:30
400,0,0,7096,264,88,0,0,0,,848,700,416,0,4984,12,88,44,228,0,3600,ES,2022-11-01 04:45
412,0,0,7168,264,88,0,0,0,,848,712,452,0,4984,12,88,44,224,0,3576,ES,2022-11-01 05:00
408,0,0,7372,264,88,0,0,0,,760,692,452,0,4988,12,80,44,220,0,3464,ES,2022-11-01 05:15
412,0,0,7488,264,88,0,0,0,,756,688,444,0,4992,12,80,44,228,0,3368,ES,2022-11-01 05:30
420,0,0,7688,264,88,0,0,0,,756,708,456,0,4988,12,84,44,232,0,3288,ES,2022-11-01 05:45
424,0,0,7888,264,88,0,0,0,,728,700,488,0,4988,12,88,44,232,0,3236,ES,2022-11-01 06:00
408,0,0,7932,264,88,0,0,0,,432,688,532,0,4988,12,88,52,236,0,3216,ES,2022-11-01 06:15
388,0,0,7996,264,88,0,0,0,,388,688,592,0,4988,12,88,52,236,0,3220,ES,2022-11-01 06:30
392,0,0,7912,264,88,0,0,0,,388,696,592,0,4992,12,88,60,236,0,3216,ES,2022-11-01 06:45
408,0,0,7976,264,88,0,0,0,,500,712,544,0,4988,12,88,152,228,0,3176,ES,2022-11-01 07:00
412,0,0,8540,264,88,0,0,0,,596,712,540,0,4988,12,92,508,232,0,3160,ES,2022-11-01 07:15
404,0,0,8480,264,88,0,0,0,,600,700,516,0,4992,12,92,1196,228,0,3100,ES,2022-11-01 07:30
400,0,0,7912,264,88,0,0,0,,672,696,484,0,4992,16,88,2132,232,0,3072,ES,2022-11-01 07:45
408,0,0,7556,264,88,0,0,0,,1124,716,520,0,4992,12,88,3184,232,0,3080,ES,2022-11-01 08:00
412,0,0,8216,264,88,0,0,0,,992,712,544,0,4988,12,88,4216,228,0,3024,ES,2022-11-01 08:15
408,0,0,8268,264,88,0,0,0,,1260,712,508,0,4988,16,88,5140,228,0,2948,ES,2022-11-01 08:30
412,0,0,8148,264,88,0,0,0,,1532,712,512,0,4988,16,88,5836,228,0,2816,ES,2022-11-01 08:45
416,0,0,8068,264,88,0,0,0,,1768,704,532,0,4988,12,88,6312,228,0,2788,ES,2022-11-01 09:00
404,0,0,7464,264,88,0,0,0,,2076,696,448,0,4988,12,88,6808,228,0,2904,ES,2022-11-01 09:15
400,0,0,7288,264,88,0,0,0,,2308,692,452,0,4988,12,88,7180,224,0,2956,ES,2022-11-01 09:30
400,0,0,6988,264,88,0,0,0,,2364,700,404,0,4988,12,88,7572,228,0,3032,ES,2022-11-01 09:45
404,0,0,6752,264,88,0,0,0,,2412,696,392,0,4984,12,84,8012,228,0,3120,ES,2022-11-01 10:00
396,0,0,6564,264,88,0,0,0,,2488,700,396,0,4980,12,84,8312,228,0,3272,ES,2022-11-01 10:15
392,0,0,6508,264,84,0,0,0,,2688,704,368,0,4980,12,84,8612,228,0,3296,ES,2022-11-01 10:30
400,0,0,6540,264,84,0,0,0,,2692,700,332,0,4980,12,84,8620,232,0,3252,ES,2022-11-01 10:45
396,0,0,6448,264,84,0,0,0,,2692,688,328,0,4976,12,88,8784,228,0,3276,ES,2022-11-01 11:00
412,0,0,6784,264,84,0,0,0,,2812,704,324,0,4976,12,84,9036,228,0,3076,ES,2022-11-01 11:15
420,0,0,6996,264,84,0,0,0,,2888,692,320,0,4972,12,84,8948,228,0,3192,ES,2022-11-01 11:30
424,0,0,7044,264,84,0,0,0,,2888,696,312,0,4976,12,84,9024,232,0,3332,ES,2022-11-01 11:45
408,0,0,6788,264,84,0,0,0,,2892,676,300,0,4984,12,84,9312,228,0,3432,ES,2022-11-01 12:00
408,0,0,6588,264,84,0,0,0,,2912,676,308,0,4984,12,80,9356,232,0,3468,ES,2022-11-01 12:15
416,0,0,6724,264,84,0,0,0,,2936,692,312,0,4984,12,80,9224,228,0,3440,ES,2022-11-01 12:30
416,0,0,6980,264,84,0,0,0,,2936,696,312,0,4984,12,80,9224,228,0,3404,ES,2022-11-01 12:45
420,0,0,7084,264,84,0,0,0,,2936,696,312,0,4984,12,80,9264,228,0,3304,ES,2022-11-01 13:00
416,0,0,7116,252,84,0,0,0,,2932,684,316,0,4984,12,84,9124,232,0,3716,ES,2022-11-01 13:15
416,0,0,7004,248,84,0,0,0,,2928,676,312,0,4984,12,80,9140,228,0,3852,ES,2022-11-01 13:30
412,0,0,6812,248,84,0,0,0,,2924,668,304,0,4984,12,80,9072,228,0,3760,ES,2022-11-01 13:45
420,0,0,6908,248,84,0,0,0,,2948,672,316,0,4984,12,80,8928,228,0,3420,ES,2022-11-01 14:00
432,0,0,7664,252,84,0,0,0,,2972,684,336,0,4984,12,84,8680,228,0,3144,ES,2022-11-01 14:15
436,0,0,7956,252,84,0,0,0,,2928,680,340,0,4984,12,80,8556,228,0,3012,ES,2022-11-01 14:30
436,0,0,8000,252,88,0,0,0,,2876,672,332,0,4984,12,84,8088,224,0,3000,ES,2022-11-01 14:45
424,0,0,8156,256,88,0,0,0,,2760,668,348,0,4984,12,84,7984,232,0,2944,ES,2022-11-01 15:00
404,0,0,7948,252,88,0,0,0,,2332,660,380,0,4988,12,80,7892,232,0,3092,ES,2022-11-01 15:15
396,0,0,8036,252,88,0,0,0,,2212,668,448,0,4988,12,80,7220,228,0,3012,ES,2022-11-01 15:30
420,0,0,8616,252,88,0,0,0,,2160,684,540,0,4988,12,80,6264,232,0,2944,ES,2022-11-01 15:45
436,0,0,8796,256,88,0,0,0,,1636,696,568,0,4988,12,84,5264,232,0,2812,ES,2022-11-01 16:00
432,0,0,8948,256,88,0,0,0,,1476,696,596,0,4988,8,88,4072,232,0,2728,ES,2022-11-01 16:15
448,0,0,9212,292,88,0,0,0,,1032,736,788,0,4988,8,88,2792,232,0,2608,ES,2022-11-01 16:30
444,0,0,9676,304,88,0,0,0,,512,712,1592,0,4988,12,88,1664,228,0,2496,ES,2022-11-01 16:45
448,0,0,10124,304,88,0,0,0,,488,720,2016,0,4988,12,88,924,228,0,2372,ES,2022-11-01 17:00
420,0,0,10080,340,88,0,0,0,,488,716,1808,0,4988,12,88,472,232,0,2292,ES,2022-11-01 17:15
416,0,0,9976,352,88,0,0,0,,488,716,2164,0,4988,12,88,276,232,0,2312,ES,2022-11-01 17:30
416,0,0,10016,352,88,0,0,0,,288,716,2708,0,4988,12,88,212,232,0,2312,ES,2022-11-01 17:45
416,0,0,10092,352,88,0,0,0,,20,716,2800,0,4988,12,88,184,232,0,2312,ES,2022-11-01 18:00
412,0,0,10080,364,88,0,0,0,,0,728,2420,0,4992,12,92,156,236,0,2240,ES,2022-11-01 18:15
420,0,0,10120,372,92,0,0,0,,0,724,2496,0,4988,12,92,152,232,0,2156,ES,2022-11-01 18:30
424,0,0,10196,372,92,0,0,0,,0,724,2720,0,4992,12,92,144,232,0,2056,ES,2022-11-01 18:45
424,0,0,10264,372,96,0,0,0,,0,716,2956,0,4992,12,92,128,232,0,1956,ES,2022-11-01 19:00
436,0,0,10236,372,100,0,0,0,,0,724,2852,0,4992,12,88,104,232,0,1840,ES,2022-11-01 19:15
456,0,0,10312,372,104,0,0,0,,0,720,2832,0,4992,12,88,88,240,0,1732,ES,2022-11-01 19:30
500,0,0,10316,372,104,0,0,0,,0,724,3052,0,4992,12,88,76,240,0,1692,ES,2022-11-01 19:45
504,0,0,10332,372,104,0,0,0,,0,720,3080,0,4992,12,92,72,236,0,1684,ES,2022-11-01 20:00
504,0,0,10272,372,104,0,0,0,,0,728,3380,0,4992,12,88,72,236,0,1696,ES,2022-11-01 20:15
500,0,0,10272,372,104,0,0,0,,0,724,3260,0,4992,12,88,68,240,0,1648,ES,2022-11-01 20:30
500,0,0,10220,372,104,0,0,0,,0,728,2812,0,4992,12,88,56,236,0,1584,ES,2022-11-01 20:45
500,0,0,10140,372,104,0,0,0,,0,732,2620,0,4992,12,92,48,236,0,1504,ES,2022-11-01 21:00
500,0,0,10176,372,104,0,0,0,,0,724,2796,0,4992,12,88,48,236,0,1456,ES,2022-11-01 21:15
484,0,0,10216,352,104,0,0,0,,0,724,2468,0,4992,12,92,48,236,0,1404,ES,2022-11-01 21:30
488,0,0,10300,352,104,0,0,0,,0,732,2024,0,4996,12,92,48,232,0,1408,ES,2022-11-01 21:45
480,0,0,10156,352,104,0,0,0,,0,724,1708,0,4996,12,92,48,236,0,1392,ES,2022-11-01 22:00
484,0,0,10320,352,104,0,0,0,,0,728,1580,0,4992,12,92,48,236,0,1392,ES,2022-11-01 22:15
484,0,0,10332,352,100,0,0,0,,0,716,1312,0,4996,12,88,48,236,0,1380,ES,2022-11-01 22:30
476,0,0,10212,352,100,0,0,0,,0,712,1120,0,4996,12,88,44,232,0,1400,ES,2022-11-01 22:45
468,0,0,9912,344,100,0,0,0,,88,712,800,0,4996,12,88,44,232,0,1444,ES,2022-11-01 23:00
480,0,0,9652,296,96,0,0,0,,288,700,636,0,4996,12,88,44,232,0,1464,ES,2022-11-01 23:15
496,0,0,9556,276,100,0,0,0,,412,696,560,0,4992,12,92,44,228,0,1472,ES,2022-11-01 23:30
492,0,0,9372,268,100,0,0,0,,504,680,380,0,4992,12,92,44,228,0,1508,ES,2022-11-01 23:45
