Demand Forecast (MW),Actual Total Load [MW] - BZN|ES,datetime
20111,20092,2022-11-01 00:00
19919,19868,2022-11-01 00:15
19766,19540,2022-11-01 00:30
19634,19448,2022-11-01 00:45
19554,19220,2022-11-01 01:00
19396,19056,2022-11-01 01:15
19199,18940,2022-11-01 01:30
18984,18808,2022-11-01 01:45
18696,18764,2022-11-01 02:00
18531,18656,2022-11-01 02:15
18425,18548,2022-11-01 02:30
18370,18404,2022-11-01 02:45
18316,18540,2022-11-01 03:00
18312,18448,2022-11-01 03:15
18315,18308,2022-11-01 03:30
18336,18368,2022-11-01 03:45
18293,18484,2022-11-01 04:00
18398,18412,2022-11-01 04:15
18563,18336,2022-11-01 04:30
18764,18404,2022-11-01 04:45
19033,18604,2022-11-01 05:00
19220,18724,2022-11-01 05:15
19362,18848,2022-11-01 05:30
19466,18992,2022-11-01 05:45
19552,19284,2022-11-01 06:00
19623,19448,2022-11-01 06:15
19700,19328,2022-11-01 06:30
19797,19232,2022-11-01 06:45
19833,19312,2022-11-01 07:00
20016,19448,2022-11-01 07:15
20256,19688,2022-11-01 07:30
20532,20104,2022-11-01 07:45
20880,20396,2022-11-01 08:00
21140,20668,2022-11-01 08:15
21353,20908,2022-11-01 08:30
21523,21088,2022-11-01 08:45
21706,21304,2022-11-01 09:00
21818,21444,2022-11-01 09:15
21914,21400,2022-11-01 09:30
21995,21500,2022-11-01 09:45
22090,21572,2022-11-01 10:00
22134,21656,2022-11-01 10:15
22161,21564,2022-11-01 10:30
22183,21656,2022-11-01 10:45
22158,21584,2022-11-01 11:00
22222,21500,2022-11-01 11:15
22327,21688,2022-11-01 11:30
22460,21836,2022-11-01 11:45
22636,22068,2022-11-01 12:00
22773,22188,2022-11-01 12:15
22885,22476,2022-11-01 12:30
22953,22572,2022-11-01 12:45
23121,22544,2022-11-01 13:00
23044,22444,2022-11-01 13:15
22876,22072,2022-11-01 13:30
22646,21940,2022-11-01 13:45
22347,21640,2022-11-01 14:00
22111,21460,2022-11-01 14:15
21921,21136,2022-11-01 14:30
21772,21320,2022-11-01 14:45
21612,21176,2022-11-01 15:00
21507,21016,2022-11-01 15:15
21415,20980,2022-11-01 15:30
21373,21072,2022-11-01 15:45
21143,21084,2022-11-01 16:00
21351,21244,2022-11-01 16:15
21734,21308,2022-11-01 16:30
22227,21688,2022-11-01 16:45
22924,22252,2022-11-01 17:00
23377,23052,2022-11-01 17:15
23698,23680,2022-11-01 17:30
23913,23956,2022-11-01 17:45
24080,24284,2022-11-01 18:00
24228,24544,2022-11-01 18:15
24403,24736,2022-11-01 18:30
24584,24936,2022-11-01 18:45
24876,24948,2022-11-01 19:00
24969,25012,2022-11-01 19:15
24973,25132,2022-11-01 19:30
24890,25148,2022-11-01 19:45
24864,24984,2022-11-01 20:00
24632,24924,2022-11-01 20:15
24340,24304,2022-11-01 20:30
23997,23988,2022-11-01 20:45
23672,23556,2022-11-01 21:00
23255,23212,2022-11-01 21:15
22820,22788,2022-11-01 21:30
22384,22348,2022-11-01 21:45
21892,21988,2022-11-01 22:00
21524,21732,2022-11-01 22:15
21214,21304,2022-11-01 22:30
20949,20720,2022-11-01 22:45
20544,20824,2022-11-01 23:00
20279,20612,2022-11-01 23:15
20011,20320,2022-11-01 23:30
19751,20128,2022-11-01 23:45
