"Time interval","Area","Type","Generation Unit","MTU","Generation [MW]","Consumption [MW]"
"15.04.2023 00:00 - 16.04.2023 00:00 (UTC)","CTA|ES","Nuclear","ALMARAZ 1",,"967 (VARY)","N/A"
,,,,"00:00 - 01:00","967",""
,,,,"01:00 - 02:00","967",""
,,,,"02:00 - 03:00","967",""
,,,,"03:00 - 04:00","966",""
,,,,"04:00 - 05:00","966",""
,,,,"05:00 - 06:00","966",""
,,,,"06:00 - 07:00","965",""
,,,,"07:00 - 08:00","963",""
,,,,"08:00 - 09:00","963",""
,,,,"09:00 - 10:00","962",""
,,,,"10:00 - 11:00","962",""
,,,,"11:00 - 12:00","961",""
,,,,"12:00 - 13:00","961",""
,,,,"13:00 - 14:00","961",""
,,,,"14:00 - 15:00","959",""
,,,,"15:00 - 16:00","958",""
,,,,"16:00 - 17:00","958",""
,,,,"17:00 - 18:00","958",""
,,,,"18:00 - 19:00","958",""
,,,,"19:00 - 20:00","958",""
,,,,"20:00 - 21:00","958",""
,,,,"21:00 - 22:00","957",""
,,,,"22:00 - 23:00","958",""
,,,,"23:00 - 00:00","957",""
