Grid Node,OTHER_COAL,HYDRO,NATURAL_GAS,NUCLEAR,OTHER,OIL,SOLAR,WIND,start_datetime,end_datetime,Parent Node,Topology Level,unit
US-WECC-CISO,19,1818,10055,2278,-49,81,8844,1392,2021-06-01 00:00,2021-06-01 01:00,US-WECC,1,MWh
US-WECC-CISO,19,2487,10982,2279,193,81,6288,1892,2021-06-01 01:00,2021-06-01 02:00,US-WECC,1,MWh
US-WECC-CISO,20,3099,13499,2278,227,81,2132,1914,2021-06-01 02:00,2021-06-01 03:00,US-WECC,1,MWh
US-WECC-CISO,18,2999,14074,2278,136,81,-8,2408,2021-06-01 03:00,2021-06-01 04:00,US-WECC,1,MWh
US-WECC-CISO,17,2980,12587,2278,84,81,-10,2556,2021-06-01 04:00,2021-06-01 05:00,US-WECC,1,MWh
US-WECC-CISO,18,2433,11156,2276,269,83,-7,2894,2021-06-01 05:00,2021-06-01 06:00,US-WECC,1,MWh
US-WECC-CISO,18,2054,9933,2278,78,85,-6,2976,2021-06-01 06:00,2021-06-01 07:00,US-WECC,1,MWh
US-WECC-CISO,19,1445,8625,2276,254,87,-6,3231,2021-06-01 07:00,2021-06-01 08:00,US-WECC,1,MWh
US-WECC-CISO,18,1027,8733,2277,-48,87,-7,3109,2021-06-01 08:00,2021-06-01 09:00,US-WECC,1,MWh
US-WECC-CISO,18,1004,7713,2277,-21,87,-7,2893,2021-06-01 09:00,2021-06-01 10:00,US-WECC,1,MWh
US-WECC-CISO,18,1000,7898,2277,-230,87,-8,2454,2021-06-01 10:00,2021-06-01 11:00,US-WECC,1,MWh
US-WECC-CISO,18,1038,7780,2278,-119,87,-8,2020,2021-06-01 11:00,2021-06-01 12:00,US-WECC,1,MWh
US-WECC-CISO,19,1173,8162,2279,68,87,-9,1806,2021-06-01 12:00,2021-06-01 13:00,US-WECC,1,MWh
US-WECC-CISO,18,1364,8731,2275,153,87,556,1712,2021-06-01 13:00,2021-06-01 14:00,US-WECC,1,MWh
US-WECC-CISO,18,1191,7633,2275,-77,87,5279,1446,2021-06-01 14:00,2021-06-01 15:00,US-WECC,1,MWh
US-WECC-CISO,18,989,7089,2275,-346,62,9483,1051,2021-06-01 15:00,2021-06-01 16:00,US-WECC,1,MWh
US-WECC-CISO,19,637,7885,2276,-390,53,11002,675,2021-06-01 16:00,2021-06-01 17:00,US-WECC,1,MWh
US-WECC-CISO,22,413,7682,2274,-45,54,11669,501,2021-06-01 17:00,2021-06-01 18:00,US-WECC,1,MWh
US-WECC-CISO,18,372,8219,2274,-193,54,12209,541,2021-06-01 18:00,2021-06-01 19:00,US-WECC,1,MWh
US-WECC-CISO,17,760,8502,2275,-141,55,12087,840,2021-06-01 19:00,2021-06-01 20:00,US-WECC,1,MWh
US-WECC-CISO,18,1117,9324,2275,-27,54,12271,959,2021-06-01 20:00,2021-06-01 21:00,US-WECC,1,MWh
US-WECC-CISO,18,1134,10330,2275,38,53,11983,1235,2021-06-01 21:00,2021-06-01 22:00,US-WECC,1,MWh
US-WECC-CISO,17,1491,12473,2276,-42,55,10600,1434,2021-06-01 22:00,2021-06-01 23:00,US-WECC,1,MWh
US-WECC-CISO,17,1645,13251,2277,-202,55,10626,1799,2021-06-01 23:00,2021-06-02 00:00,US-WECC,1,MWh
