datetime,Demand Forecast (MW),Actual Total Load (MW)
2022-01-01 00:00:00+00:00,21760.0,21482.0
2022-01-01 01:00:00+00:00,20787.0,21623.0
2022-01-01 02:00:00+00:00,18960.5,22955.5
2022-01-01 03:00:00+00:00,17343.5,22924.0
2022-01-01 04:00:00+00:00,16407.5,22886.0
2022-01-01 05:00:00+00:00,16312.5,23041.5
2022-01-01 06:00:00+00:00,17442.0,25408.5
2022-01-01 07:00:00+00:00,18130.0,25735.5
2022-01-01 08:00:00+00:00,18872.0,25784.0
2022-01-01 09:00:00+00:00,20572.5,26158.5
2022-01-01 10:00:00+00:00,22227.0,26481.0
2022-01-01 11:00:00+00:00,23033.0,26380.5
2022-01-01 12:00:00+00:00,23725.5,27004.0
2022-01-01 13:00:00+00:00,23790.0,26296.0
2022-01-01 14:00:00+00:00,24322.0,26206.0
2022-01-01 15:00:00+00:00,25639.5,26796.5
2022-01-01 16:00:00+00:00,28593.0,29008.0
2022-01-01 17:00:00+00:00,30293.5,29760.5
2022-01-01 18:00:00+00:00,29459.0,28717.0
2022-01-01 19:00:00+00:00,28000.0,27285.5
2022-01-01 20:00:00+00:00,26252.5,26048.0
2022-01-01 21:00:00+00:00,24474.5,24517.5
2022-01-01 22:00:00+00:00,22440.0,24217.0
2022-01-01 23:00:00+00:00,20481.5,24702.0
2022-01-02 00:00:00+00:00,20100.0,23445.0
2022-01-02 01:00:00+00:00,19499.5,23204.0
2022-01-02 02:00:00+00:00,18439.5,22949.0
2022-01-02 03:00:00+00:00,17486.5,23128.0
2022-01-02 04:00:00+00:00,16644.5,23701.5
2022-01-02 05:00:00+00:00,16532.5,24660.0
2022-01-02 06:00:00+00:00,17293.5,26016.0
2022-01-02 07:00:00+00:00,18282.0,25853.0
2022-01-02 08:00:00+00:00,19739.0,26931.0
2022-01-02 09:00:00+00:00,22008.0,27172.5
2022-01-02 10:00:00+00:00,25408.0,27582.5
2022-01-02 11:00:00+00:00,26467.5,28552.0
2022-01-02 12:00:00+00:00,27384.5,28924.5
2022-01-02 13:00:00+00:00,27797.5,28961.5
2022-01-02 14:00:00+00:00,28378.0,29008.5
2022-01-02 15:00:00+00:00,29716.0,29912.0
2022-01-02 16:00:00+00:00,32482.5,34035.5
2022-01-02 17:00:00+00:00,33684.5,35043.5
2022-01-02 18:00:00+00:00,32274.5,33635.5
2022-01-02 19:00:00+00:00,29708.0,32240.0
2022-01-02 20:00:00+00:00,27522.0,30716.5
2022-01-02 21:00:00+00:00,24941.0,28498.5
2022-01-02 22:00:00+00:00,22307.0,28255.0
2022-01-02 23:00:00+00:00,19773.0,27413.0
